RxPackets;RxTime;RxId;TxId;TxTime;xPos;yPos
270;2767;8;cam data : 3;2763;17;55
271;2777;-1;cam data : 7;2773;42;76
272;2777;0;cam data : 7;2773;42;76
273;2777;1;cam data : 7;2773;42;76
274;2777;2;cam data : 7;2773;42;76
275;2777;3;cam data : 7;2773;42;76
276;2777;4;cam data : 7;2773;42;76
277;2777;5;cam data : 7;2773;42;76
278;2777;6;cam data : 7;2773;42;76
279;2777;8;cam data : 7;2773;42;76
280;2779;-1;cam data : 2;2775;5;26
281;2779;0;cam data : 2;2775;5;26
282;2779;1;cam data : 2;2775;5;26
283;2779;3;cam data : 2;2775;5;26
284;2779;4;cam data : 2;2775;5;26
285;2779;5;cam data : 2;2775;5;26
286;2779;6;cam data : 2;2775;5;26
287;2779;7;cam data : 2;2775;5;26
288;2779;8;cam data : 2;2775;5;26
289;2782;-1;cam data : 5;2778;31;25
290;2782;0;cam data : 5;2778;31;25
291;2782;1;cam data : 5;2778;31;25
292;2782;2;cam data : 5;2778;31;25
293;2782;3;cam data : 5;2778;31;25
294;2782;4;cam data : 5;2778;31;25
295;2782;6;cam data : 5;2778;31;25
296;2782;7;cam data : 5;2778;31;25
297;2782;8;cam data : 5;2778;31;25
298;2797;-1;cam data : 8;2793;86;96
299;2797;0;cam data : 8;2793;86;96
300;2797;1;cam data : 8;2793;86;96
301;2797;2;cam data : 8;2793;86;96
302;2797;3;cam data : 8;2793;86;96
303;2797;4;cam data : 8;2793;86;96
304;2797;5;cam data : 8;2793;86;96
305;2797;6;cam data : 8;2793;86;96
306;2797;7;cam data : 8;2793;86;96
307;2819;-1;cam data : 0;2815;65;54
308;2819;1;cam data : 0;2815;65;54
309;2819;2;cam data : 0;2815;65;54
310;2819;3;cam data : 0;2815;65;54
311;2819;4;cam data : 0;2815;65;54
312;2819;5;cam data : 0;2815;65;54
313;2819;6;cam data : 0;2815;65;54
314;2819;7;cam data : 0;2815;65;54
315;2819;8;cam data : 0;2815;65;54
316;2834;-1;cam data : 4;2830;59;25
317;2834;0;cam data : 4;2830;59;25
318;2834;1;cam data : 4;2830;59;25
319;2834;2;cam data : 4;2830;59;25
320;2834;3;cam data : 4;2830;59;25
321;2834;5;cam data : 4;2830;59;25
322;2834;6;cam data : 4;2830;59;25
323;2834;7;cam data : 4;2830;59;25
324;2834;8;cam data : 4;2830;59;25
325;2858;-1;cam data : 1;2854;71;52
326;2858;0;cam data : 1;2854;71;52
327;2858;2;cam data : 1;2854;71;52
328;2858;3;cam data : 1;2854;71;52
329;2858;4;cam data : 1;2854;71;52
330;2858;5;cam data : 1;2854;71;52
331;2858;6;cam data : 1;2854;71;52
332;2858;7;cam data : 1;2854;71;52
333;2858;8;cam data : 1;2854;71;52
334;2867;-1;cam data : 3;2863;17;55
335;2867;0;cam data : 3;2863;17;55
336;2867;1;cam data : 3;2863;17;55
337;2867;2;cam data : 3;2863;17;55
