TxPackets;TxTime;TxId;xPos;yPos
3375;6047;5;31;25
3384;6052;-1;66;72
3393;6061;0;65;54
3402;6069;1;71;52
3411;6072;6;78;15
3420;6097;2;5;26
3429;6103;7;42;76
3438;6110;3;17;55
3447;6111;8;86;96
3456;6128;4;59;25
3465;6147;5;31;25
3474;6152;-1;66;72
3483;6161;0;65;54
3492;6169;1;71;52
3501;6172;6;78;15
3510;6197;2;5;26
3519;6203;7;42;76
3528;6210;3;17;55
3537;6211;8;86;96
3546;6222;8;86;96
3555;6228;4;59;25
3564;6233;-1;66;72
3573;6247;5;31;25
3582;6261;0;65;54
3591;6269;1;71;52
3600;6272;6;78;15
3609;6297;2;5;26
3618;6303;7;42;76
3627;6310;3;17;55
3636;6322;8;86;96
3645;6328;4;59;25
3654;6333;-1;66;72
3663;6347;5;31;25
3672;6361;0;65;54
3681;6369;1;71;52
3690;6372;6;78;15
3699;6397;2;5;26
3708;6403;7;42;76
3717;6410;3;17;55
3726;6422;8;86;96
3735;6428;4;59;25
3744;6433;-1;66;72
3753;6447;5;31;25
3762;6461;0;65;54
3771;6469;1;71;52
3780;6472;6;78;15
3789;6497;2;5;26
3798;6503;7;42;76
3807;6510;3;17;55
3816;6522;8;86;96
3825;6528;4;59;25
3834;6533;-1;66;72
3843;6547;5;31;25
3852;6561;0;65;54
3861;6569;1;71;52
3870;6572;6;78;15
3879;6597;2;5;26
3888;6603;7;42;76
3897;6610;3;17;55
3906;6622;8;86;96
3915;6628;4;59;25
3924;6633;-1;66;72
3933;6647;5;31;25
3942;6661;0;65;54
3951;6669;1;71;52
3960;6672;6;78;15
3969;6673;5;31;25
3978;6697;2;5;26
3987;6703;7;42;76
3996;6710;3;17;55
4005;6722;8;86;96
4014;6727;1;71;52
4023;6728;4;59;25
4032;6733;-1;66;72
4041;6761;0;65;54
4050;6772;6;78;15
4059;6773;5;31;25
4068;6797;2;5;26
4077;6803;7;42;76
4086;6806;0;65;54
4095;6810;3;17;55
4104;6822;8;86;96
4113;6827;1;71;52
4122;6828;4;59;25
4131;6833;-1;66;72
4140;6872;6;78;15
4149;6873;5;31;25
4158;6897;2;5;26
4167;6903;7;42;76
4176;6906;0;65;54
4185;6910;3;17;55
4194;6922;8;86;96
4203;6927;1;71;52
4212;6928;4;59;25
4221;6933;-1;66;72
4230;6972;6;78;15
4239;6973;5;31;25
4248;6983;7;42;76
4257;6997;2;5;26
4266;7006;0;65;54
4275;7010;3;17;55
4284;7022;8;86;96
4293;7026;2;5;26
4302;7027;1;71;52
4311;7028;4;59;25
4320;7033;-1;66;72
4329;7072;6;78;15
4338;7073;5;31;25
4347;7083;7;42;76
4356;7106;0;65;54
4365;7110;3;17;55
4374;7115;4;59;25
4383;7122;8;86;96
4392;7126;2;5;26
4401;7127;1;71;52
4410;7133;-1;66;72
4419;7172;6;78;15
4428;7173;5;31;25
4437;7179;6;78;15
4446;7183;7;42;76
4455;7206;0;65;54
4464;7207;8;86;96
4473;7210;3;17;55
4482;7215;4;59;25
4491;7226;2;5;26
4500;7227;1;71;52
4509;7233;-1;66;72
4518;7273;5;31;25
4527;7279;6;78;15
4536;7283;7;42;76
4545;7306;0;65;54
4554;7307;8;86;96
4563;7310;3;17;55
4572;7315;4;59;25
4581;7326;2;5;26
4590;7327;1;71;52
